condition,time_ms,mean_H
B,8305.1005859375,1.0012037754058838
B,8305.2001953125,1.0012037754058838
B,8305.2998046875,1.0012037754058838
B,8305.400390625,1.0012037754058838
B,8305.5,1.0012037754058838
B,8305.6005859375,1.0012037754058838
B,8305.7001953125,1.0012037754058838
B,8305.7998046875,1.0012037754058838
B,8305.900390625,1.0012037754058838
B,8306.0,1.0012037754058838
B,8306.1005859375,1.0012037754058838
B,8306.2001953125,1.0012037754058838
B,8306.2998046875,1.0012037754058838
B,8306.400390625,1.0012037754058838
B,8306.5,1.0012037754058838
B,8306.6005859375,1.0012037754058838
B,8306.7001953125,1.0012037754058838
B,8306.7998046875,1.0012037754058838
B,8306.900390625,1.0012037754058838
B,8307.0,1.0012037754058838
B,8307.1005859375,1.0012037754058838
B,8307.2001953125,1.0012037754058838
B,8307.2998046875,1.0012037754058838
B,8307.400390625,1.0012037754058838
B,8307.5,1.0012037754058838
B,8307.6005859375,1.0012037754058838
B,8307.7001953125,1.0012037754058838
B,8307.7998046875,1.0012037754058838
B,8307.900390625,1.0012037754058838
B,8308.0,1.0012037754058838
B,8308.1005859375,1.0012037754058838
B,8308.2001953125,1.0012037754058838
B,8308.2998046875,1.0012037754058838
B,8308.400390625,1.0012037754058838
B,8308.5,1.0012037754058838
B,8308.6005859375,1.0012037754058838
B,8308.7001953125,1.0012037754058838
B,8308.7998046875,1.0012037754058838
B,8308.900390625,1.0012037754058838
B,8309.0,1.0012037754058838
B,8309.1005859375,1.0012037754058838
B,8309.2001953125,1.0012037754058838
B,8309.2998046875,1.0012037754058838
B,8309.400390625,1.0012037754058838
B,8309.5,1.0012037754058838
B,8309.6005859375,1.0012037754058838
B,8309.7001953125,1.0012037754058838
B,8309.7998046875,1.0012037754058838
B,8309.900390625,1.0012037754058838
B,8310.0,1.0012037754058838
B,8310.1005859375,1.0012037754058838
B,8310.2001953125,1.0012037754058838
B,8310.2998046875,1.0012037754058838
B,8310.400390625,1.0012037754058838
B,8310.5,1.0012037754058838
B,8310.6005859375,1.0012037754058838
B,8310.7001953125,1.0012037754058838
B,8310.7998046875,1.0012037754058838
B,8310.900390625,1.0012037754058838
B,8311.0,1.0012037754058838
B,8311.1005859375,1.0012037754058838
B,8311.2001953125,1.0012037754058838
B,8311.2998046875,1.0012037754058838
B,8311.400390625,1.0012037754058838
B,8311.5,1.0012037754058838
B,8311.6005859375,1.0012037754058838
B,8311.7001953125,1.0012037754058838
B,8311.7998046875,1.0012037754058838
B,8311.900390625,1.0012037754058838
B,8312.0,1.0012037754058838
B,8312.1005859375,1.0012037754058838
B,8312.2001953125,1.0012037754058838
B,8312.2998046875,1.0012037754058838
B,8312.400390625,1.0012037754058838
B,8312.5,1.0012037754058838
B,8312.6005859375,1.0012037754058838
B,8312.7001953125,1.0012037754058838
B,8312.7998046875,1.0012037754058838
B,8312.900390625,1.0012037754058838
B,8313.0,1.0012037754058838
B,8313.1005859375,1.0012037754058838
B,8313.2001953125,1.0012037754058838
B,8313.2998046875,1.0012037754058838
B,8313.400390625,1.0012037754058838
B,8313.5,1.0012037754058838
B,8313.6005859375,1.0012037754058838
B,8313.7001953125,1.0012037754058838
B,8313.7998046875,1.0012037754058838
B,8313.900390625,1.0012037754058838
B,8314.0,1.0012037754058838
B,8314.1005859375,1.0012037754058838
B,8314.2001953125,1.0012037754058838
B,8314.2998046875,1.0012037754058838
B,8314.400390625,1.0012037754058838
B,8314.5,1.0012037754058838
B,8314.6005859375,1.0012037754058838
B,8314.7001953125,1.0012037754058838
B,8314.7998046875,1.0012037754058838
B,8314.900390625,1.0012037754058838
B,8315.0,1.0012037754058838
B,8315.1005859375,1.0012037754058838
B,8315.2001953125,1.0012037754058838
B,8315.2998046875,1.0012037754058838
B,8315.400390625,1.0012037754058838
B,8315.5,1.0012037754058838
B,8315.6005859375,1.0012037754058838
B,8315.7001953125,1.0012037754058838
B,8315.7998046875,1.0012037754058838
B,8315.900390625,1.0012037754058838
B,8316.0,1.0012037754058838
B,8316.1005859375,1.0012037754058838
B,8316.2001953125,1.0012037754058838
B,8316.2998046875,1.0012037754058838
B,8316.400390625,1.0012037754058838
B,8316.5,1.0012037754058838
B,8316.6005859375,1.0012037754058838
B,8316.7001953125,1.0012037754058838
B,8316.7998046875,1.0012037754058838
B,8316.900390625,1.0012037754058838
B,8317.0,1.0012037754058838
B,8317.1005859375,1.0012037754058838
B,8317.2001953125,1.0012037754058838
B,8317.2998046875,1.0012037754058838
B,8317.400390625,1.0012037754058838
B,8317.5,1.0012037754058838
B,8317.6005859375,1.0012037754058838
B,8317.7001953125,1.0012037754058838
B,8317.7998046875,1.0012037754058838
B,8317.900390625,1.0012037754058838
B,8318.0,1.0012037754058838
B,8318.1005859375,1.0012037754058838
B,8318.2001953125,1.0012037754058838
B,8318.2998046875,1.0012037754058838
B,8318.400390625,1.0012037754058838
B,8318.5,1.0012037754058838
B,8318.6005859375,1.0012037754058838
B,8318.7001953125,1.0012037754058838
B,8318.7998046875,1.0012037754058838
B,8318.900390625,1.0012037754058838
B,8319.0,1.0012037754058838
B,8319.1005859375,1.0012037754058838
B,8319.2001953125,1.0012037754058838
B,8319.2998046875,1.0012037754058838
B,8319.400390625,1.0012037754058838
B,8319.5,1.0012037754058838
B,8319.6005859375,1.0012037754058838
B,8319.7001953125,1.0012037754058838
B,8319.7998046875,1.0012037754058838
B,8319.900390625,1.0012037754058838
B,8320.0,1.0012037754058838
B,8320.1005859375,1.0012037754058838
B,8320.2001953125,1.0012037754058838
B,8320.2998046875,1.0012037754058838
B,8320.400390625,1.0012037754058838
B,8320.5,1.0012037754058838
B,8320.6005859375,1.0012037754058838
B,8320.7001953125,1.0012037754058838
B,8320.7998046875,1.0012037754058838
B,8320.900390625,1.0012037754058838
B,8321.0,1.0012037754058838
B,8321.1005859375,1.0012037754058838
B,8321.2001953125,1.0012037754058838
B,8321.2998046875,1.0012037754058838
B,8321.400390625,1.0012037754058838
B,8321.5,1.0012037754058838
B,8321.6005859375,1.0012037754058838
B,8321.7001953125,1.0012037754058838
B,8321.7998046875,1.0012037754058838
B,8321.900390625,1.0012037754058838
B,8322.0,1.0012037754058838
B,8322.1005859375,1.0012037754058838
B,8322.2001953125,1.0012037754058838
B,8322.2998046875,1.0012037754058838
B,8322.400390625,1.0012037754058838
B,8322.5,1.0012037754058838
B,8322.6005859375,1.0012037754058838
B,8322.7001953125,1.0012037754058838
B,8322.7998046875,1.0012037754058838
